Subject,Start Date,Start Time,End Date,End Time,Description
Fajr (Ramadan 1),3/1/2025,5:18 AM,3/1/2025,5:23 AM,First day of Ramadan - Fajr prayer
Maghrib (Ramadan 1),3/1/2025,6:09 PM,3/1/2025,6:14 PM,First day of Ramadan - Maghrib prayer
Fajr (Ramadan 2),3/2/2025,5:15 AM,3/2/2025,5:23 AM,Second day of Ramadan - Fajr prayer
Maghrib (Ramadan 2),3/2/2025,6:11 PM,3/2/2025,6:16 PM,Second day of Ramadan - Maghrib prayer
Fajr (Ramadan 3),3/3/2025,5:12 AM,3/3/2025,5:17 AM,Third day of Ramadan - Fajr prayer
Maghrib (Ramadan 3),3/3/2025,6:13 PM,3/3/2025,6:18 PM,Third day of Ramadan - Maghrib prayer
Fajr (Ramadan 4),3/4/2025,5:10 AM,3/4/2025,5:15 AM,Fourth day of Ramadan - Fajr prayer
Maghrib (Ramadan 4),3/4/2025,6:16 PM,3/4/2025,6:21 PM,Fourth day of Ramadan - Maghrib prayer
Fajr (Ramadan 5),3/5/2025,5:07 AM,3/5/2025,5:12 AM,Fifth day of Ramadan - Fajr prayer
Maghrib (Ramadan 5),3/5/2025,6:18 PM,3/5/2025,6:21 PM,Fifth day of Ramadan - Maghrib prayer
Fajr (Ramadan 6),3/6/2025,5:05 AM,3/6/2025,5:10 AM,Sixth day of Ramadan - Fajr prayer
Maghrib (Ramadan 6),3/6/2025,6:20 PM,3/6/2025,6:24 PM,Sixth day of Ramadan - Maghrib prayer
Fajr (Ramadan 7),3/7/2025,5:02 AM,3/7/2025,5:04 AM,Seventh day of Ramadan - Fajr prayer
Maghrib (Ramadan 7),3/7/2025,6:22 PM,3/7/2025,6:29 PM,Seventh day of Ramadan - Maghrib prayer
Fajr (Ramadan 8),3/8/2025,4:59 AM,3/8/2025,5:01 AM,Eighth day of Ramadan - Fajr prayer
Maghrib (Ramadan 8),3/8/2025,6:24 PM,3/8/2025,6:31 PM,Eighth day of Ramadan - Maghrib prayer
Fajr (Ramadan 9),3/9/2025,4:56 AM,3/9/2025,5:01 AM,Ninth day of Ramadan - Fajr prayer
Maghrib (Ramadan 9),3/9/2025,6:26 PM,3/9/2025,6:31 PM,Ninth day of Ramadan - Maghrib prayer
Fajr (Ramadan 10),3/10/2025,4:54 AM,3/10/2025,4:59 AM,Tenth day of Ramadan - Fajr prayer
Maghrib (Ramadan 10),3/10/2025,6:28 PM,3/10/2025,6:33 PM,Tenth day of Ramadan - Maghrib prayer
Fajr (Ramadan 11),3/11/2025,4:51 AM,3/11/2025,4:57 AM,Eleventh day of Ramadan - Fajr prayer
Maghrib (Ramadan 11),3/11/2025,6:30 PM,3/11/2025,6:35 PM,Eleventh day of Ramadan - Maghrib prayer
Fajr (Ramadan 12),3/12/2025,4:48 AM,3/12/2025,4:53 AM,Twelfth day of Ramadan - Fajr prayer
Maghrib (Ramadan 12),3/12/2025,6:32 PM,3/12/2025,6:37 PM,Twelfth day of Ramadan - Maghrib prayer
Fajr (Ramadan 13),3/13/2025,4:45 AM,3/13/2025,4:50 AM,Thirteenth day of Ramadan - Fajr prayer
Maghrib (Ramadan 13),3/13/2025,6:34 PM,3/13/2025,6:39 PM,Thirteenth day of Ramadan - Maghrib prayer
Fajr (Ramadan 14),3/14/2025,4:42 AM,3/14/2025,4:48 AM,Fourteenth day of Ramadan - Fajr prayer
Maghrib (Ramadan 14),3/14/2025,6:36 PM,3/14/2025,6:41 PM,Fourteenth day of Ramadan - Maghrib prayer
Fajr (Ramadan 15),3/15/2025,4:39 AM,3/15/2025,4:45 AM,Fifteenth day of Ramadan - Fajr prayer
